Número REDS;Qtde Ocorrências;Natureza Principal Completa;Ano Fato;Mês Fato Resumido;Mês Numérico Fato;Data Fato;Dia da Semana Fato;Horário Fato;Faixa 1 Hora Fato;Faixa 6 Horas Fato;Alvo;Causa Presumida;Desc Longa Meio Utilizado;Descrição Grupo Local Imediato;Descrição Local Imediato;Logradouro Ocorrência - Tipo;Bairro;Bairro Não Cadastrado;Bairro - FATO FINAL;Bairro - FATO FINAL - Municipio;Município;Município - Código;UF - Sigla;RISP ;RMBH 
2025-005406313-001;1;FURTO CONSUMADO;2025;FEV;2;02/02/2025;DOMINGO;10:00:00;De 10:00 as 10:59        ;De 06:00 as 11:59        ;Transeunte;VANTAGEM ECONOMICA;MEDIANTE FRAUDE;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-042623706-001;1;FURTO CONSUMADO;2022;SET;9;15/09/2022;QUINTA-FEIRA;12:00:00;De 12:00 as 12:59;De 12:00 as 17:59;Outros;OUTRAS MOTIVACOES/CAUSAS ;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-010218542-001;1;FURTO CONSUMADO;2025;MAR;3;04/03/2025;TERÇA-FEIRA;04:16:04;De 04:00 as 04:59        ;De 00:00 as 05:59        ;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PARTICULAR/PRIVADA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-013967686-001;1;FURTO CONSUMADO;2025;MAR;3;26/03/2025;QUARTA-FEIRA;05:03:50;De 05:00 as 05:59        ;De 00:00 as 05:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-009126838-001;1;FURTO CONSUMADO;2022;FEV;2;25/02/2022;SEXTA-FEIRA;18:15:00;De 18:00 as 18:59;De 18:00 as 23:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;IMOVEL RURAL;SITIO;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-022434356-001;1;FURTO CONSUMADO;2022;MAI;5;26/05/2022;QUINTA-FEIRA;12:48:35;De 12:00 as 12:59;De 12:00 as 17:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-030910497-001;1;FURTO CONSUMADO;2022;JUL;7;18/07/2022;SEGUNDA-FEIRA;06:40:56;De 06:00 as 06:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;IMOVEL RURAL;SITIO;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-002257505-001;1;FURTO CONSUMADO;2023;JAN;1;15/01/2023;DOMINGO;07:53:30;De 07:00 as 07:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;IMOVEL RURAL;SITIO;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-014108251-001;1;FURTO CONSUMADO;2023;MAR;3;25/03/2023;SÁBADO;20:00:00;De 20:00 as 20:59;De 18:00 as 23:59;Residência;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;RESIDENCIA UNIFAMILIAR URBANA;CASA;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-040864046-001;1;FURTO CONSUMADO;2023;AGO;8;31/08/2023;QUINTA-FEIRA;16:43:00;De 16:00 as 16:59        ;De 12:00 as 17:59        ;Transeunte;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-060144874-001;1;FURTO CONSUMADO;2023;DEZ;12;20/12/2023;QUARTA-FEIRA;21:00:00;De 21:00 as 21:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-013112594-001;1;FURTO CONSUMADO;2025;MAR;3;20/03/2025;QUINTA-FEIRA;00:46:00;De 00:00 as 00:59        ;De 00:00 as 05:59        ;Outros;IGNORADO;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;DEPOSITO;OUTROS - DEPOSITO EM GERAL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-006606997-001;1;FURTO CONSUMADO;2022;FEV;2;12/02/2022;SÁBADO;08:44:10;De 08:00 as 08:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;VIA DE ACESSO;VIA DE ACESSO PARTICULAR/PRIVADA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-009205419-001;1;FURTO CONSUMADO;2022;MAR;3;01/03/2022;TERÇA-FEIRA;04:00:00;De 04:00 as 04:59;De 00:00 as 05:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-016770243-001;1;FURTO CONSUMADO;2022;ABR;4;20/04/2022;QUARTA-FEIRA;00:00:00;De 00:00 as 00:59;De 00:00 as 05:59;Cargas;PREENCHIMENTO OPCIONAL;PREENCHIMENTO OPCIONAL;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-052201451-001;1;FURTO CONSUMADO;2022;NOV;11;28/11/2022;SEGUNDA-FEIRA;21:00:00;De 21:00 as 21:59;De 18:00 as 23:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;OFICINA ELETRICA / LANTERNAGEM / MECANICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-023579053-001;1;FURTO CONSUMADO;2023;MAI;5;15/05/2023;SEGUNDA-FEIRA;19:48:00;De 19:00 as 19:59;De 18:00 as 23:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-038122370-001;1;FURTO CONSUMADO;2023;JUL;7;25/07/2023;TERÇA-FEIRA;00:00:00;De 00:00 as 00:59;De 00:00 as 05:59;Outros;PREENCHIMENTO OPCIONAL;PREENCHIMENTO OPCIONAL;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-057958410-001;1;FURTO CONSUMADO;2023;DEZ;12;13/12/2023;QUARTA-FEIRA;22:00:00;De 22:00 as 22:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO COM EXPLOSIVOS;ESTABELECIMENTO COMERCIAL / SERVICOS;ESTACIONAMENTO / GARAGEM;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-042329851-001;1;FURTO CONSUMADO;2024;SET;9;19/09/2024;QUINTA-FEIRA;22:30:00;De 22:00 as 22:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;EMPREGO DE CHAVE FALSA / MICHA / GAZUA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-011377739-001;1;FURTO CONSUMADO;2025;MAR;3;11/03/2025;TERÇA-FEIRA;00:00:00;De 00:00 as 00:59        ;De 00:00 as 05:59        ;Outros;PREENCHIMENTO OPCIONAL;PREENCHIMENTO OPCIONAL;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
